ds,yhat_almoco,yhat_janta
2024-09-02,345.97109876513036,287.1461068990943
2024-09-03,396.12206929839954,329.17757008365913
2024-09-04,395.1609607402781,308.9688769106539
2024-09-05,379.90256042218203,306.41042716811506
2024-09-06,330.41756599902476,229.2311106424939
2024-09-09,357.2827834372867,293.326063596893
2024-09-10,406.3790615707843,333.80434982625417
2024-09-11,403.95058152499945,311.854877711356
2024-09-12,386.84129139775825,307.4012386008138
2024-09-13,335.1629679610373,228.21051379349979
2024-09-16,353.95978005224765,286.0117008092956
2024-09-17,400.1004644530004,324.46274037874616
2024-09-18,394.71255160529387,300.6015622295754
2024-09-19,374.72167327238225,294.3983158523292
2024-09-20,320.32091181109917,213.66390342514018
2024-09-23,332.66457933985424,268.44269872494016
2024-09-24,377.44538104189246,306.5179984694281
2024-09-25,371.1794002182227,282.6272119084875
2024-09-26,350.82623769250154,276.74676138259514
2024-09-27,296.5992520689866,196.68529341997956
2024-09-30,312.6626287417062,255.43130502241712
2024-10-01,359.66846957475974,295.38563248496405
2024-10-02,356.04331710063633,273.5864214234253
2024-10-03,338.68081549294266,269.9606034732892
2024-10-04,287.71709214541465,192.26205219794795
2024-10-05,344.3173282808272,205.47316301174308
2024-10-06,345.59146270476595,206.53298146683116
2024-10-07,314.3061962318882,258.1462611939827
2024-10-08,364.7400245756729,300.288886101051
2024-10-09,364.33573313527404,280.4802470878765
2024-10-10,349.8903145314986,278.59024943625684
2024-10-11,301.44942120572057,202.32076468613397
2024-10-12,360.0965961478254,216.60867095339472
2024-10-13,362.8714578872184,218.35532318000008
2024-10-14,332.4839356441846,270.23679744443075
2024-10-15,383.1712159675483,312.21030941911704
2024-10-16,382.35177486077725,291.7873662949754
2024-10-17,366.8164056060589,288.8413018558306
2024-10-18,316.623314297078,211.0889873150511
2024-10-19,372.8874974591649,223.49384663337733
2024-10-20,372.698561867206,222.9950091309881
2024-10-21,338.83407976954004,272.3169418232513
2024-10-22,385.6151518865895,311.47496714011527
2024-10-23,380.55857692281273,288.0472382877767
2024-10-24,360.565575919574,281.98084217514975
2024-10-25,305.81419419781463,201.0718497963776
2024-10-26,357.5456575869859,210.36647666654932
2024-10-27,352.97891553499835,206.88822597988374
2024-10-28,315.02054527358825,253.44540196425757
2024-10-29,358.11677689108785,290.1344483711768
2024-10-30,349.9021299066471,264.6097368012088
2024-10-31,327.38470355864575,256.8875291774907
2024-11-01,270.83533706039316,174.8239893179838
2024-11-02,321.571007186098,183.51446059194916
2024-11-03,316.8667811528203,180.01893464738754
2024-11-04,279.66357673663117,227.16814760201183
2024-11-05,324.41855739993,265.06580278975076
2024-11-06,318.75270916848,241.35758293551865
2024-11-07,299.6356840842726,236.03470709126745
2024-11-08,247.2751542160398,156.9119301855779
2024-11-09,302.9010553612731,169.02721609312724
2024-11-10,303.6790336118581,169.36801355725174
2024-11-11,272.4203251153647,220.6785656822765
2024-11-12,323.43485861261354,262.9637362551766
2024-11-13,324.18207332514396,243.75998980497684
2024-11-14,311.4594679671924,242.94124502054984
2024-11-15,265.2960423626505,168.19945443543304
2024-11-16,326.74091670670816,184.44708798517075
2024-11-17,332.7813381081783,188.5463891385412
2024-11-18,306.0571942130337,243.11976763300478
2024-11-19,360.71870863153026,288.0567407807197
2024-11-20,364.08169437956576,270.7879859729696
2024-11-21,352.8202661456926,271.0941484442187
2024-11-22,306.86406223291004,196.5891821920166
2024-11-23,367.1901577706174,212.1253290212989
2024-11-24,370.7437853133382,214.52453599532012
2024-11-25,340.1549015431043,266.3906129003178
2024-11-26,389.59720841789357,307.61748694703
